label,tokenized
1,배공 빠르다 굿
0,택배 엉망 용 집 밑 층 말 놔두다
1,아주 좋다 바지 정말 좋다 개 더 구매 하다 가격 대박 이다 바느질 조금 성하다 편하다 가성 비 최고
0,선물 용 받다 전달 하다 하다 상품 이다 머그컵 오다 당황 하다 전화하다 바로 주다 하다 배송 누락 되어다 확인 안 바로 선물 하다 큰일 날 뻔하다 배송 걸리다 살다 다시 생각 하다 같다 아쉽다
1,민트 색상 예쁘다 옆 손잡이 거 용 도로 사용 되다
0,비추다 하다 계란 뒤지다 때 완전 불편하다 코팅 묻다 보기 예쁘다 실용 보이다 생각 진짜 별로 이다
0,주문 월 시키다 월일 배송 오다 여기 회사 전화 안되다 아무렇다 연락 받다 없다 답답하다 분 곳 사다 추천 드리다
0,넉넉하다 길이 주문 하다 안 맞다 별로
0,보폴 계속 때 나오다 지금 안나
0,전문 속옷 브랜드 위생 팬티 작다 해 불편하다 밴딩부분 신축 없다 일반 실로 되어다 빅사 임 빅사 이즈 같다 않다 입다 벗 때 편하다 밴딩부분 늘어나다 입다 때 밴딩 잡다 말
1,사이즈 딱이다 귀엽다 넘다 좋다
0,베이지 색 구매 하다 약간 살색 가깝다
0,화면 빨 보다 노랗다 컬러 돋보이다 저렴하다 맛 그냥 쓰다
0,별루 치티치 탛캏 타티티티티티 치치 치다 처치 처 펴다 치다 쵸려
1,촉감 좋다 무게 감 핏 편하다
1,불 멍하다 좋다 사이즈 좋다
1,재다 친구 좋다 향 나다 해
0,실내 신다 건지다 모르다
1,재다 좋다 하나 이상하다
1,가게 운영 하다 사장 대신 구매 해달라다 하다 구매 하다 되어다 가게 달다 이쁘다
1,가성 비 괜찮다 바퀴 고정 되다 개 짜다 린데
0,화장 깨끗하다 지워지다 않다 거품 생기 문지르다 씻다 정력 별로 듯해
0,남자 애 좋다 유해 성분 없다 초등 바르다 좋다
0,채집 통 결착 안되다 채집 통 결착 안되다 커터칼 결착 부분 모서리 부분 깍 내다 겨우 결착 되다 해당 부분 제품 불량 이슈 같다 보내다 전 최소한 테스트 하다 보내다
1,재다 늘 살다 흙 팽이 젤 좋아하다 빠르다 배송 감사하다
0,처음 쓸다 때 좋다 쓰다 보다 의자 빼다 때 소리 계속 붙이다 부직포 덧붙이다 여전하다 끌리다 비추다 테니스공 살껄 이쁘다 산다 거 사서 후회되다
0,배송 기사 판매 하다 회사 불친절하다 불쾌하다 서비스 면 최악 요 제품 쓸다 하다 싸다 비지 떡 마인드 갖추다 장사 하다 바라다 이익 눈
0,저렴하다 구매 하다 바지 완성 떨어지다
0,사용 불편하다 잘빠지다
0,양은 많다 맛 없다
0,설치 하다 때 전압 넘다 높다 퓨즈 나가다
0,받다 땐 튼튼하다 칸막이 있다 넘다 맘 들다 금도 맘 들다 먼지 먼지 세상 먼지 묻다 집 두다 먼지 가다 묻다 한번 그냥 모시다 두다 까만색 넘다 비추다 이다 아이보리 살껄
0,휴대폰 각 자다 나오다 노트 사용 얇다 케이스 끄다 자다 빠지다 않다 진짜 불편하다 각도 조절 조금 되다 점 이다
1,생각 고급스럽다
1,가볍다 좋다 옵션 파우치 있다 얼마나 좋다 아쉽다 구매 하다 자다 사용 하다
0,총 개 사다 용하다 전 부드럽다 물티슈 닦다 프린트 번 지다 교환 하다 귀찮다 그냥 쓰다 아쉽다
0,모기 않다 들어가다
1,선물 준 사람 받다 사람 모두 만족하다
0,예쁘다 심플 하다 사다 재질 깔다 끄다 워 살 자국 베이 폭망 재 확인 안 제 잘못 참고 싱글 세트 퀸 세트 사다
1,고정 자다 기다 하다 쓰다 떡 지다 처럼 보이다 걱정 되다 쓰다
1,맛있다 주문 하다 카페 갈다 필요없다
0,진짜 너무하다 배송 늦다 엄 절수 없다 차다 밑 서랍 금방 안되다 되다 물어 봣 늘다 전화 받다 시 톡 보냇 늘다 후시 답 하다 뭐 물어보다 상담시 아니다 뜨다 좀 해주다 안되다 안되다 답장 부탁드리다
1,좋다 색도 좋다 포근하다 이불
1,네이비 색상 조금 진하다 굿
1,역시 기다리다 보람 있다 제품 이군
0,퀄리티 가다 좀 떨어지다 손 이따 놓다 같다
0,약간 삐뚤다 설치 되다 반품 귀찮다 그냥 쓰다
0,피부 트러블 더 올라오다 몸 사용 하다 몸 뾰 루지 나다
0,겁나다 아프다 익숙해지다 되다 일 하다 발 멍 고통 심하다 컨디션 더 안좋다 패기 처분 하다 사람 다르다 기전 신중하다 결정 하다 참고 전 평발 아니다
1,이유식 초기 사용 하다 않다 후기 보고 믿다 구매 하다 사이즈 다양하다 좋다 실리콘 재질 편하다 쓸다 같다
1,사이즈 딱이다 자마자 찌다 먹다 늘다 뎅 달다 달다
0,좀 뻣뻣하다 애가 좋아하다 않다
0,생각 작다 나중 먼지 먹다 식물 넣다 물건 흠 없다
0,정력 약하다 처음 사용 하다 땐 찌꺼기 없다 좋다 하다 사용 해보다 씻기다 지멘스 맞다 건지다 다시 쓰다 체형 갈아타다
0,흡착 약하다 식판 붙다 거 애기 자꾸 떼다
0,재다 짱구 소개 이용 하다 저번 괜찮다 거 같다 또 사다 기름 오다 질겨 뱉다 좋다 상품 주시 고객 명 잃다 이제 이용 알다
0,연휴 때 시켯더 연휴 때 시키다 달 넘어서다 왓네 연락 없다 택배 회사 연락 없다 상품 좋다 늦다 서다 별로
1,저번 쓰다 망가지다 삿는데 역시 핸들 돌리다 때 편하다
0,빠르다 배송 친절하다 설명
1,빠르다 배송 짱짱
1,돌뼈 최고
0,안 패드 자꾸 빠지다 불편하다
1,재다 가게 사용 이다 알다 피 하다 때 이쁘다
1,크다 사이즈 구매 하다 언제 끝내다 모르다 프린트 선명하다 좋다
1,예쁘다 포인트 딱이다
1,보온 기능 짱 최고 이다 강추
1,시간 지나다 접착 그대로
1,괜찮다
0,지퍼 한번 쓰다 장남 최악
0,무게 나가요 마제 닦다 애 먹다
0,신중하다 선택 하다
0,가격 대비 허다 접해 쌓다 앞 기울다 구성 점 이기 믿다 구입 하다 생각 튼튼하다 않다
1,흰색 깔끔하다 아기 쓰다 재질 좋다 부드럽다
1,항상 애용 하다 리뷰 남다 기도 뭐 먹다 배송 빨르다
1,아주 편하다 않다 밑위 좀더 길다 편하다
1,수딩젤 바르다 오히려 더 건조하다 크림 바르다 보습 자다 되다 좋다
1,믿다 쓰다 페넬로페 세자 린 쓰다 새롭다 나오다 제품 구매 하다 세자 린 마지막 팩 쓰다 있다 떨어지다 전 도착 하다
0,실망 요 마무리 처리 성하다
1,사이즈 크게 시키다 자다 맞다
1,재다 통 째다 아주 좋다 요강 추
